[10:08:05] [ServerMain/INFO]: Environment: authHost='https://authserver.mojang.com', accountsHost='https://api.mojang.com', sessionHost='https://sessionserver.mojang.com', servicesHost='https://api.minecraftservices.com', name='PROD'
[10:08:07] [ServerMain/INFO]: Loaded 7 recipes
[10:08:07] [ServerMain/INFO]: Loaded 1271 advancements
[10:08:07] [Server thread/INFO]: Starting minecraft server version 1.20.1
[10:08:07] [Server thread/INFO]: Loading properties
[10:08:07] [Server thread/INFO]: Default game type: SURVIVAL
[10:08:07] [Server thread/INFO]: Generating keypair
[10:08:07] [Server thread/INFO]: Starting Minecraft server on *:25565
[10:08:07] [Server thread/INFO]: Using epoll channel type
[10:08:07] [Server thread/WARN]: **** SERVER IS RUNNING IN OFFLINE/INSECURE MODE!
[10:08:07] [Server thread/WARN]: The server will make no attempt to authenticate usernames. Beware.
[10:08:07] [Server thread/WARN]: While this makes the game possible to play without internet access, it also opens up the ability for hackers to connect with any username they choose.
[10:08:07] [Server thread/WARN]: To change this, set "online-mode" to "true" in the server.properties file.
[10:08:07] [Server thread/INFO]: Preparing level "world"
[10:08:13] [Server thread/INFO]: Preparing start region for dimension minecraft:overworld
[10:08:14] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[10:08:14] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[10:08:14] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[10:08:14] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[10:08:15] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[10:08:15] [Worker-Main-2/INFO]: Preparing spawn area: 1%
[10:08:16] [Worker-Main-3/INFO]: Preparing spawn area: 1%
[10:08:16] [Worker-Main-3/INFO]: Preparing spawn area: 2%
[10:08:17] [Worker-Main-3/INFO]: Preparing spawn area: 3%
[10:08:17] [Worker-Main-1/INFO]: Preparing spawn area: 5%
[10:08:18] [Worker-Main-2/INFO]: Preparing spawn area: 6%
[10:08:18] [Worker-Main-1/INFO]: Preparing spawn area: 8%
[10:08:19] [Worker-Main-3/INFO]: Preparing spawn area: 10%
[10:08:19] [Worker-Main-3/INFO]: Preparing spawn area: 11%
[10:08:20] [Worker-Main-3/INFO]: Preparing spawn area: 13%
[10:08:21] [Worker-Main-2/INFO]: Preparing spawn area: 15%
[10:08:21] [Worker-Main-3/INFO]: Preparing spawn area: 16%
[10:08:21] [Worker-Main-2/INFO]: Preparing spawn area: 18%
[10:08:22] [Worker-Main-3/INFO]: Preparing spawn area: 20%
[10:08:22] [Worker-Main-2/INFO]: Preparing spawn area: 23%
[10:08:23] [Worker-Main-3/INFO]: Preparing spawn area: 24%
[10:08:23] [Worker-Main-3/INFO]: Preparing spawn area: 27%
[10:08:24] [Worker-Main-1/INFO]: Preparing spawn area: 30%
[10:08:25] [Worker-Main-2/INFO]: Preparing spawn area: 33%
[10:08:25] [Worker-Main-2/INFO]: Preparing spawn area: 37%
[10:08:25] [Worker-Main-1/INFO]: Preparing spawn area: 39%
[10:08:26] [Worker-Main-2/INFO]: Preparing spawn area: 42%
[10:08:26] [Worker-Main-1/INFO]: Preparing spawn area: 44%
[10:08:27] [Worker-Main-2/INFO]: Preparing spawn area: 47%
[10:08:27] [Worker-Main-2/INFO]: Preparing spawn area: 51%
[10:08:28] [Worker-Main-1/INFO]: Preparing spawn area: 54%
[10:08:28] [Worker-Main-3/INFO]: Preparing spawn area: 57%
[10:08:29] [Worker-Main-1/INFO]: Preparing spawn area: 60%
[10:08:29] [Worker-Main-3/INFO]: Preparing spawn area: 63%
[10:08:30] [Worker-Main-2/INFO]: Preparing spawn area: 67%
[10:08:30] [Worker-Main-1/INFO]: Preparing spawn area: 70%
[10:08:31] [Worker-Main-3/INFO]: Preparing spawn area: 72%
[10:08:31] [Worker-Main-3/INFO]: Preparing spawn area: 76%
[10:08:32] [Worker-Main-2/INFO]: Preparing spawn area: 80%
[10:08:32] [Worker-Main-3/INFO]: Preparing spawn area: 83%
[10:08:33] [Worker-Main-2/INFO]: Preparing spawn area: 86%
[10:08:33] [Worker-Main-1/INFO]: Preparing spawn area: 90%
[10:08:34] [Worker-Main-2/INFO]: Preparing spawn area: 90%
[10:08:34] [Worker-Main-1/INFO]: Preparing spawn area: 91%
[10:08:35] [Worker-Main-1/INFO]: Preparing spawn area: 94%
[10:08:35] [Worker-Main-2/INFO]: Preparing spawn area: 98%
[10:08:36] [Server thread/INFO]: Time elapsed: 22604 ms
[10:08:36] [Server thread/INFO]: Done (28.160s)! For help, type "help"
